x,y,ground_truth
10.409641,1.1387299,Seminar
42.914986,-10.339855,Imaginative
32.13191,17.811296,Seminar
26.140678,-7.61187,Seminar
24.965462,-8.092833,Seminar
31.918728,18.558731,Seminar
48.767914,-5.1960196,Seminar
18.245687,18.567314,Deliberation
47.664948,-2.4327166,Seminar
-12.453504,3.9523206,Deliberation
-16.515335,0.29605448,Deliberation
18.076729,18.502481,Deliberation
-21.74128,8.892029,Deliberation
-38.168213,5.046134,Deliberation
-34.234425,6.3357496,Deliberation
19.278397,-19.61867,Seminar
-4.611216,-3.2510655,Seminar
43.84439,-9.165737,Seminar
44.612553,0.84951687,Seminar
49.9321,-5.4832287,Seminar
44.578297,-1.1058335,Seminar
-24.802624,-0.08824201,Deliberation
-23.578243,3.1506312,Deliberation
-16.26372,2.8896022,Deliberation
-23.25246,2.795198,Procedure
-4.4386096,-2.8062365,Deliberation
-11.922851,6.0767045,Deliberation
3.4833598,18.940422,Deliberation
-6.3777027,-1.6220063,Deliberation
-6.6485643,-2.2642858,Seminar
-5.3199573,-1.8291831,Seminar
-3.5534048,-1.9652793,Seminar
7.715655,16.703474,Seminar
-22.913725,-3.552889,Social
19.17975,-7.2470055,Seminar
17.775347,-7.8760223,Seminar
52.37802,1.2084134,Seminar
52.942707,-0.5904326,Seminar
52.52302,-1.4435834,Seminar
34.50954,21.888346,Seminar
14.139926,14.21161,Seminar
48.418938,2.8036282,Seminar
19.417309,-3.5776956,Seminar
19.498476,-4.794109,Seminar
20.098576,-8.108016,Seminar
17.106524,-7.168067,Seminar
19.322144,7.9331007,Seminar
17.406761,5.066211,Seminar
18.478836,6.4574237,Seminar
18.54528,7.333822,Seminar
16.998013,5.3321137,Seminar
23.619118,-2.658238,Seminar
37.04601,5.192467,Seminar
28.428114,7.9019027,Seminar
28.881044,3.9245372,Seminar
41.89693,9.059773,Seminar
28.644844,1.4970382,Imaginative entry
41.660946,7.0852375,Seminar
22.260393,-5.8726797,Seminar
13.966729,14.487024,Seminar
13.044181,2.7152352,Seminar
28.5057,1.8527088,Seminar
20.04302,3.2006,Seminar
34.04622,6.4188166,Seminar
20.594032,1.9827654,Seminar
40.133167,3.4683545,Seminar
23.037117,4.670513,Seminar
24.990284,5.0861344,Seminar
38.731403,6.5945587,Seminar
40.48211,10.61933,Seminar
39.776485,8.215666,Seminar
22.469545,5.7210317,Seminar
46.425976,5.7241373,Seminar
21.060713,4.05607,Seminar
24.171164,4.164239,Seminar
46.59239,2.3432834,Seminar
27.085623,7.7012873,Seminar
41.487484,4.8693414,Seminar
27.420555,5.497589,Seminar
44.495274,2.219097,Seminar
18.822018,4.7572064,Seminar
19.301767,5.9891806,Seminar
38.290314,7.4299216,Seminar
26.673962,7.3647203,Seminar
41.583706,6.324734,Seminar
40.9239,1.5243963,Seminar
41.976383,-8.345748,Seminar
42.48389,-8.312697,Seminar
19.670547,5.405529,Seminar
28.098717,9.005937,Seminar
26.75764,8.313325,Seminar
47.33944,1.234749,Seminar
47.486454,2.0691636,Seminar
25.927301,7.724516,Seminar
42.1639,4.736086,Seminar
30.165876,6.292825,Seminar
38.231396,4.689954,Seminar
40.062508,-2.2924688,Seminar
26.698128,2.430347,Seminar
47.476303,0.46954486,Seminar
42.295517,0.73034275,Seminar
0.7249189,-1.2488214,Seminar
32.137722,6.099311,Seminar
43.422626,7.2254705,Seminar
-35.24676,11.2404,Procedure
22.326466,18.88082,Seminar
3.8848042,14.564173,Seminar
24.566479,-14.878344,Seminar
-0.07240667,-1.1457622,UX
26.835579,16.641005,Seminar
-18.330153,-3.714318,UX
-20.82346,-7.393904,UX
-17.382168,-2.8710666,UX
-15.286216,-2.8864233,UX
22.72027,18.816288,Seminar
18.989893,1.3494909,Seminar
26.477077,0.19092493,Seminar
14.859809,0.32545003,Seminar
43.17576,5.1272798,Seminar
44.93517,11.14643,Seminar
29.156681,23.569706,Seminar
49.647713,-2.1139195,Seminar
37.63543,12.479335,Seminar
33.410202,15.505349,Imaginative entry
27.853697,17.042013,Seminar
28.171583,-6.284429,Seminar
46.977283,-6.1373525,Seminar
49.44347,3.7408836,Seminar
31.945938,14.447403,Seminar
32.805855,13.7963085,Seminar
37.856533,8.447223,Seminar
-7.77907,-4.5826516,Seminar
-9.001647,-6.255745,Seminar
-8.463812,-5.782566,Seminar
3.949574,14.917284,Seminar
-29.796064,5.3745985,Social
-8.580977,-4.785927,Seminar
29.117128,9.686611,Seminar
22.521036,-7.592949,Seminar
17.23103,-8.76495,Seminar
47.54955,4.809857,Seminar
18.713537,-0.5077753,Seminar
-29.865665,5.105283,Social
14.00202,7.3272443,Seminar
14.9249735,5.058796,Seminar
24.092703,18.009796,Seminar
25.366623,9.427672,Seminar
14.0063505,-0.1633719,Seminar
40.4471,5.595668,Seminar
33.104683,-9.672743,Seminar
42.98583,3.324546,Seminar
