x,y,ground_truth
-24.2371,-7.1534915,Seminar
-31.151236,-9.076709,UX
7.790895,2.6330523,UX
-32.213524,-13.353356,UX
-32.456566,-13.454784,UX
-22.5837,-14.289158,Social
-8.81757,25.376587,Social
-30.373276,-8.901749,UX
-29.633066,-5.7439985,UX
-27.934431,-9.839496,UX
-34.829052,-14.565802,UX
-22.702902,-13.692692,UX
-34.654297,-14.276917,UX
-35.558567,-14.606724,UX
-27.106169,-9.737509,UX
-37.896782,-3.046692,Social
24.138863,-8.915983,Seminar
-14.907034,-31.216135,Social
-39.573967,-1.8597437,UX
-8.233668,-17.991684,Social
-36.197853,16.160921,Seminar
-11.043821,-8.690221,Seminar
-9.775877,-9.268462,Seminar
-27.146446,6.6966767,Procedure
-48.0974,-0.60734403,Social
-43.24984,6.105691,Social
-49.002205,1.0245575,Social
-40.14086,11.028402,UX
-39.70542,-0.84104073,Social
-43.39043,6.065588,Social
-48.094654,7.239126,Social
